         Вид функции |             Линейная |         Квадратичная |     Экспоненциальная |      Логарифмическая |            Степенная |
   x = 0.1, y = 0.23 |  0.15818853974121394 |  0.21432764627804818 |   0.7205751471231894 |   0.2196959317444793 |  -1.8633394603954403 |
   x = 0.3, y = 0.64 |   0.5974605431536986 |   0.6343987873922201 |   0.8402351371743526 |   0.6545296049093234 |    0.683997046807463 |
   x = 0.6, y = 1.32 |   1.2563685482724254 |   1.2685657189287796 |    1.057993937043735 |   1.3033398799738778 |   2.2911874415605684 |
   x = 0.9, y = 1.87 |   1.9152765533911527 |   1.9076049143037006 |   1.3321880046406962 |    1.950008815825606 |    3.231333554010367 |
   x = 1.2, y = 2.45 |   2.5741845585098795 |   2.5515163735169835 |   1.6774433364594952 |    2.595291076200677 |    3.898377836313674 |
   x = 1.5, y = 3.11 |    3.233092563628607 |    3.200300096568628 |   2.1121764625040864 |    3.239544171223178 |    4.415777578217809 |
   x = 1.8, y = 3.95 |    3.892000568747334 |    3.853956083458634 |    2.659576816569268 |    3.882978305187958 |    4.838523948763473 |
   x = 2.1, y = 4.67 |    4.550908573866061 |    4.512484334187002 |    3.348843701651201 |    4.525732188402031 |   5.1959509122012975 |
   x = 2.4, y = 5.13 |    5.209816578984787 |    5.175884848753732 |    4.216743832409936 |      5.1679043000985 |    5.505568231066779 |
   x = 2.7, y = 5.79 |    5.868724584103515 |    5.844157627158824 |    5.309572536753529 |    5.809568204824552 |    5.778670061213271 |
   x = 3.0, y = 6.45 |    6.527632589222242 |    6.517302669402277 |    6.685623230504701 |    6.450780957229621 |    6.022967972970914 |
   x = 3.3, y = 7.32 |    7.186540594340968 |     7.19531997548409 |    8.418296891296238 |    7.091588103951474 |    6.243962315586515 |
   x = 3.6, y = 7.84 |    7.845448599459696 |    7.878209545404267 |   10.600017396531946 |    7.732026848389779 |    6.445714343516578 |
   x = 3.9, y = 8.55 |    8.504356604578422 |    8.565971379162805 |   13.347161576464519 |    8.372128151617272 |    6.631308218166715 |
                   S |  0.09970518981942297 |  0.08366019157537548 |    38.59886553500998 |  0.16748140228315467 |    19.15619649820461 |
                   σ |  0.08439075347937075 |  0.07730283286962825 |   1.6604402500328894 |  0.10937530482672778 |    1.169743454724906 |
       Коэффициент a |   2.1963600170624233 |  0.02706813243534273 |   0.6672959655280322 |   2.1652348835686985 |   3.4756314657680103 |
       Коэффициент b | -0.06144746196502839 |    2.089528452596723 |   0.7681603464872424 |   0.9936830004118467 |   2.3186856122746806 |
       Коэффициент c |                    0 |  0.00510411969402247 |                    0 |                    0 |                    0 |
